epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5613.44,0.51718,0.805,0.80222,0.95627,0.84754,0.79419,0.86779,0.75406,0.84754,0.79419,0.85125,0.68572,0.52075,0.95359,0.84098,1.06723,0.000812,0.000812,0.000812
62,5703.35,0.52602,0.79759,0.79063,0.96084,0.79292,0.78095,0.8443,0.74138,0.78861,0.78167,0.82927,0.6778,0.52609,0.99058,0.84031,1.07584,0.0007922,0.0007922,0.0007922
63,5794.59,0.52271,0.81135,0.79218,0.94322,0.79912,0.77143,0.8435,0.71795,0.78925,0.7619,0.82729,0.65671,0.5326,1.03446,0.85486,1.06277,0.0007724,0.0007724,0.0007724
64,5886.25,0.51618,0.81376,0.81891,0.97173,0.80865,0.76472,0.84235,0.72798,0.79959,0.75997,0.82735,0.64892,0.52362,1.04548,0.85673,1.06244,0.0007526,0.0007526,0.0007526
65,5979.51,0.52234,0.77302,0.82413,0.9693,0.82954,0.74159,0.84714,0.71831,0.76233,0.79048,0.8268,0.65476,0.52111,1.0582,0.886,1.0564,0.0007328,0.0007328,0.0007328
66,6069.63,0.48864,0.78058,0.74292,0.93002,0.73863,0.77143,0.83792,0.71153,0.76641,0.8,0.84573,0.66671,0.5294,1.02229,0.90911,1.04758,0.000713,0.000713,0.000713
67,6160.13,0.49544,0.77033,0.77054,0.95523,0.79309,0.73012,0.82752,0.70941,0.82171,0.7619,0.8378,0.66483,0.54622,1.04402,0.94597,1.06398,0.0006932,0.0006932,0.0006932
68,6251.21,0.49294,0.74758,0.75077,0.93852,0.78583,0.73333,0.83522,0.71262,0.81757,0.7619,0.83912,0.66433,0.57873,1.06645,0.9349,1.09988,0.0006734,0.0006734,0.0006734
69,6343.19,0.4702,0.69628,0.74631,0.94504,0.78583,0.73333,0.83522,0.71262,0.81757,0.7619,0.83912,0.66433,0.57873,1.06645,0.9349,1.09988,0.0006536,0.0006536,0.0006536
70,6433.25,0.5132,0.79884,0.76632,0.94236,0.77449,0.77143,0.82754,0.71158,0.79361,0.79048,0.83263,0.65451,0.55373,1.10212,0.92414,1.09051,0.0006338,0.0006338,0.0006338
